,date,close,day_prev_close,trend_3_day
1382,2014-11-26,119.0,117.6,1
1383,2014-11-28,118.93,119.0,1
1384,2014-12-01,115.07,118.93,-1
1385,2014-12-02,114.63,115.07,-1
1386,2014-12-03,115.93,114.63,-1
1387,2014-12-04,115.49,115.93,-1
1388,2014-12-05,115.0,115.49,-1
1389,2014-12-08,112.4,115.0,-1
1390,2014-12-09,114.12,112.4,-1
1391,2014-12-10,111.95,114.12,-1
1392,2014-12-11,111.62,111.95,-1
1393,2014-12-12,109.73,111.62,-1
1394,2014-12-15,108.225,109.73,-1
1395,2014-12-16,106.745,108.225,-1
1396,2014-12-17,109.41,106.745,-1
1397,2014-12-18,112.65,109.41,-1
1398,2014-12-19,111.78,112.65,1
1399,2014-12-22,112.94,111.78,1
1400,2014-12-23,112.54,112.94,1
1401,2014-12-24,112.01,112.54,-1
1402,2014-12-26,113.99,112.01,-1
1403,2014-12-29,113.91,113.99,-1
1404,2014-12-30,112.52,113.91,-1
1405,2014-12-31,110.38,112.52,-1
1406,2015-01-02,109.33,110.38,-1
1407,2015-01-05,106.25,109.33,-1
1408,2015-01-06,106.26,106.25,-1
1409,2015-01-07,107.75,106.26,-1
1410,2015-01-08,111.89,107.75,1
1411,2015-01-09,112.01,111.89,1
1412,2015-01-12,109.25,112.01,1
1413,2015-01-13,110.22,109.25,1
1414,2015-01-14,109.8,110.22,1
1415,2015-01-15,106.82,109.8,-1
1416,2015-01-16,105.99,106.82,-1
1417,2015-01-20,108.72,105.99,-1
1418,2015-01-21,109.55,108.72,-1
1419,2015-01-22,112.4,109.55,1
1420,2015-01-23,112.98,112.4,1
1421,2015-01-26,113.1,112.98,1
1422,2015-01-27,109.14,113.1,1
1423,2015-01-28,115.31,109.14,1
1424,2015-01-29,118.9,115.31,1
1425,2015-01-30,117.16,118.9,1
1426,2015-02-02,118.63,117.16,1
1427,2015-02-03,118.65,118.63,1
1428,2015-02-04,119.56,118.65,1
1429,2015-02-05,119.94,119.56,1
1430,2015-02-06,118.93,119.94,1
1431,2015-02-09,119.72,118.93,1
1432,2015-02-10,122.02,119.72,1
1433,2015-02-11,124.88,122.02,1
1434,2015-02-12,126.46,124.88,1
1435,2015-02-13,127.08,126.46,1
1436,2015-02-17,127.83,127.08,1
1437,2015-02-18,128.715,127.83,1
1438,2015-02-19,128.45,128.715,1
1439,2015-02-20,129.495,128.45,1
1440,2015-02-23,133.0,129.495,1
1441,2015-02-24,132.17,133.0,1
1442,2015-02-25,128.79,132.17,1
1443,2015-02-26,130.415,128.79,-1
1444,2015-02-27,128.46,130.415,-1
1445,2015-03-02,129.09,128.46,-1
1446,2015-03-03,129.36,129.09,1
1447,2015-03-04,128.54,129.36,1
1448,2015-03-05,126.41,128.54,1
1449,2015-03-06,126.6,126.41,-1
1450,2015-03-09,127.14,126.6,-1
1451,2015-03-10,124.51,127.14,1
1452,2015-03-11,122.24,124.51,1
1453,2015-03-12,124.45,122.24,-1
1454,2015-03-13,123.59,124.45,-1
1455,2015-03-16,124.95,123.59,-1
1456,2015-03-17,127.04,124.95,1
1457,2015-03-18,128.47,127.04,1
1458,2015-03-19,127.495,128.47,1
1459,2015-03-20,125.9,127.495,1
1460,2015-03-23,127.21,125.9,-1
1461,2015-03-24,126.69,127.21,-1
1462,2015-03-25,123.38,126.69,-1
1463,2015-03-26,124.24,123.38,-1
1464,2015-03-27,123.25,124.24,-1
1465,2015-03-30,126.37,123.25,-1
1466,2015-03-31,124.43,126.37,1
1467,2015-04-01,124.25,124.43,-1
1468,2015-04-02,125.32,124.25,-1
1469,2015-04-06,127.35,125.32,-1
1470,2015-04-07,126.01,127.35,1
1471,2015-04-08,125.6,126.01,1
1472,2015-04-09,126.56,125.6,-1
1473,2015-04-10,127.1,126.56,-1
1474,2015-04-13,126.85,127.1,1
1475,2015-04-14,126.3,126.85,1
1476,2015-04-15,126.78,126.3,-1
1477,2015-04-16,126.17,126.78,-1
1478,2015-04-17,124.75,126.17,-1
1479,2015-04-20,127.6,124.75,-1
1480,2015-04-21,126.91,127.6,-1
1481,2015-04-22,128.62,126.91,-1
1482,2015-04-23,129.67,128.62,1
1483,2015-04-24,130.28,129.67,1
1484,2015-04-27,132.65,130.28,1
1485,2015-04-28,130.56,132.65,1
1486,2015-04-29,128.64,130.56,1
1487,2015-04-30,125.15,128.64,-1
1488,2015-05-01,128.95,125.15,-1
1489,2015-05-04,128.7,128.95,-1
1490,2015-05-05,125.8,128.7,-1
1491,2015-05-06,125.01,125.8,-1
1492,2015-05-07,125.26,125.01,-1
1493,2015-05-08,127.62,125.26,-1
1494,2015-05-11,126.32,127.62,1
1495,2015-05-12,125.865,126.32,1
1496,2015-05-13,126.01,125.865,-1
1497,2015-05-14,128.95,126.01,-1
1498,2015-05-15,128.77,128.95,1
1499,2015-05-18,130.19,128.77,1
1500,2015-05-19,130.07,130.19,1
1501,2015-05-20,130.06,130.07,-1
1502,2015-05-21,131.39,130.06,-1
1503,2015-05-22,132.54,131.39,-1
1504,2015-05-26,129.62,132.54,1
1505,2015-05-27,132.045,129.62,1
1506,2015-05-28,131.78,132.045,1
1507,2015-05-29,130.28,131.78,-1
1508,2015-06-01,130.535,130.28,-1
1509,2015-06-02,129.96,130.535,-1
1510,2015-06-03,130.12,129.96,-1
1511,2015-06-04,129.36,130.12,1
1512,2015-06-05,128.65,129.36,-1
1513,2015-06-08,127.8,128.65,-1
1514,2015-06-09,127.42,127.8,-1
1515,2015-06-10,128.88,127.42,-1
1516,2015-06-11,128.59,128.88,-1
1517,2015-06-12,127.17,128.59,-1
1518,2015-06-15,126.92,127.17,-1
1519,2015-06-16,127.6,126.92,-1
1520,2015-06-17,127.3,127.6,-1
1521,2015-06-18,127.88,127.3,-1
1522,2015-06-19,126.6,127.88,1
1523,2015-06-22,127.61,126.6,-1
1524,2015-06-23,127.03,127.61,1
